chr	start	end	aluexon	position	strand	distance_to_alu	3SSS	WU	U1	U2
scaffold_10811	54226	54227	Aluexon:6542	chr13:41809250:41809251:+	+	22	3.01	18	18	7
scaffold_10878	4131	4132	Aluexon:1246	chr15:75643640:75643641:+	+	25	3.01	22	22	5
scaffold_10880	11223	11224	Aluexon:2009	chr19:21724612:21724613:+	+	74	-27.28	15	15	10
scaffold_109046	445	446	Aluexon:4154	chr4:154317060:154317061:+	+	19	1.90	7	7	5
scaffold_10929	388	389	Aluexon:4607	chr7:66403515:66403516:+	+	32	2.30	30	30	10
scaffold_109	536458	536459	Aluexon:2493	chr2:222286790:222286791:-	-	54	1.03	5	4	5
scaffold_11010	31441	31442	Aluexon:1375	chr16:30312388:30312389:-	-	18	-0.51	13	13	6
scaffold_11031	5419	5420	Aluexon:4610	chr7:72933042:72933043:-	-	17	-0.21	6	6	6
scaffold_1104	347645	347646	Aluexon:3694	chr8:99591371:99591372:-	-	16	2.82	16	7	16
scaffold_1119	76366	76367	Aluexon:1533	chr17:10244379:10244380:+	+	32	1.79	8	8	7
scaffold_112	328761	328762	Aluexon:2302	chr2:40269507:40269508:+	+	14	-24.37	4	4	4
scaffold_11255	7672	7673	Aluexon:3138	chr5:78518204:78518205:-	-	48	2.08	7	6	7
scaffold_11347	24982	24983	Aluexon:1707	chr17:57962117:57962118:-	-	187	-6.25	NA	6	NA
scaffold_11349	11437	11438	Aluexon:5758	chr14:106452260:106452261:-	-	225	-15.94	14	14	6
scaffold_11349	11550	11551	Aluexon:5759	chr14:106452340:106452341:-	-	145	-19.39	14	14	6
scaffold_11349	3882	3883	Aluexon:5777	chr14:106715721:106715722:-	-	122	-19.65	5	2	5
scaffold_1139	272648	272649	Aluexon:5341	chr15:25219787:25219788:+	-	22	-0.14	14	14	6
scaffold_1145	81069	81070	Aluexon:3081	chr4:170501642:170501643:-	-	24	-3.78	5	5	5
scaffold_1146	261255	261256	Aluexon:3601	chr7:99009371:99009372:+	+	45	3.87	26	26	8
scaffold_11530	58544	58545	Aluexon:4469	chr4:95377393:95377394:+	+	35	3.91	19	19	6
scaffold_1158	313936	313937	Aluexon:1664	chr17:42260437:42260438:-	+	56	4.85	8	8	5
scaffold_1162	32099	32100	Aluexon:4844	chr12:120911488:120911489:-	-	35	-13.89	4	4	3
scaffold_1162	474612	474613	Aluexon:3008	chr4:56217289:56217290:+	+	51	-21.07	22	22	7
scaffold_1171	195069	195070	Aluexon:6017	chr8:101544688:101544689:-	-	9	2.84	9	9	6
scaffold_1173	88068	88069	Aluexon:4815	chr12:39759800:39759801:-	+	34	2.52	19	19	7
scaffold_11822	8668	8669	Aluexon:4381	chr2:110332018:110332019:-	+	33	2.79	26	26	6
scaffold_1186	6820	6821	Aluexon:3667	chr8:74876860:74876861:-	-	23	3.01	20	20	6
scaffold_1186	7252	7253	Aluexon:4662	chr8:74877235:74877236:-	-	52	2.35	7	6	7
scaffold_11877	59719	59720	Aluexon:193	chr1:114268583:114268584:-	+	23	3.01	19	19	4
scaffold_11877	59820	59821	Aluexon:3993	chr1:114268485:114268486:-	+	121	-12.73	19	19	4
scaffold_11877	59928	59929	Aluexon:191	chr1:114268406:114268407:-	+	200	-28.66	5	5	4
scaffold_1192	294866	294867	Aluexon:1666	chr17:43219948:43219949:+	+	30	1.57	7	4	7
scaffold_1192	76974	76975	Aluexon:1672	chr17:42971669:42971670:-	-	81	-21.74	18	18	6
scaffold_1199	40823	40824	Aluexon:5843	chr17:47753378:47753379:-	-	27	11.69	9	9	7
scaffold_12011	129	130	Aluexon:290	chr1:192997085:192997086:-	-	27	1.53	NA	NA	NA
scaffold_12112	23833	23834	Aluexon:250	chr1:155214024:155214025:-	-	167	6.09	5	2	5
scaffold_121	190232	190233	Aluexon:5973	chr6:111927477:111927478:-	-	307	-19.36	3	2	3
scaffold_122022	412	413	Aluexon:2520	chr2:242263822:242263823:+	-	19	7.11	7	6	7
scaffold_1223	341146	341147	Aluexon:5887	chr2:11246913:11246914:-	+	66	-11.65	4	2	4
scaffold_12257	18266	18267	Aluexon:2279	chr2:24102917:24102918:-	-	24	2.83	6	6	6
scaffold_12342	26540	26541	Aluexon:1240	chr15:76480939:76480940:-	-	25	-0.92	7	7	7
scaffold_12407	7140	7141	Aluexon:434	chr10:75366137:75366138:-	-	84	-19.81	8	2	8
scaffold_12452	20865	20866	Aluexon:6311	chr5:139662944:139662945:+	-	120	-15.79	9	7	9
scaffold_1250	6859	6860	Aluexon:2621	chr21:35094235:35094236:+	+	30	2.58	14	14	8
scaffold_125192	946	947	Aluexon:6572	chr17:62464425:62464426:+	+	13	-2.44	16	5	16
scaffold_125	659345	659346	Aluexon:199	chr1:110861504:110861505:-	-	27	-5.29	7	4	7
scaffold_125	757759	757760	Aluexon:203	chr1:110960414:110960415:+	+	31	-15.16	8	6	8
scaffold_12580	8847	8848	Aluexon:1616	chr17:34063793:34063794:+	+	35	-6.18	5	4	5
scaffold_1260	235959	235960	Aluexon:5231	chr1:26128505:26128506:+	+	21	2.30	15	15	6
scaffold_1261	295334	295335	Aluexon:1394	chr16:31104185:31104186:-	+	214	-13.54	16	16	5
scaffold_1283	222003	222004	Aluexon:4291	chr1:100552088:100552089:+	+	19	-0.65	6	5	6
scaffold_1286	346817	346818	Aluexon:4573	chr6:118010745:118010746:+	+	32	1.21	14	14	6
scaffold_1286	347020	347021	Aluexon:4574	chr6:118010912:118010913:+	+	199	4.76	13	13	6
scaffold_1290	12631	12632	Aluexon:1076	chr14:75165559:75165560:-	-	174	-0.98	5	3	5
scaffold_12996	17386	17387	Aluexon:6349	chr8:146034601:146034602:+	+	13	2.63	6	6	5
scaffold_1305	109139	109140	Aluexon:5484	chr22:32211400:32211401:+	+	27	0.85	7	3	7
scaffold_130	643223	643224	Aluexon:4755	chr10:88948777:88948778:+	+	21	3.00	15	15	13
scaffold_13090	41340	41341	Aluexon:1171	chr15:41580179:41580180:+	+	37	3.10	7	7	5
scaffold_13	1089565	1089566	Aluexon:6383	chr10:118616492:118616493:-	-	27	3.19	8	8	7
scaffold_131352	925	926	Aluexon:1130	chr15:28543775:28543776:-	+	190	6.09	7	7	6
scaffold_13195	651	652	Aluexon:2874	chr3:128617272:128617273:+	+	21	-7.05	5	3	5
scaffold_13306	13411	13412	Aluexon:4801	chr11:120288236:120288237:+	+	22	4.33	7	4	7
scaffold_13317	167	168	Aluexon:4614	chr7:74078788:74078789:+	+	27	-13.13	5	5	3
scaffold_1333	218528	218529	Aluexon:5150	chr20:36353337:36353338:+	+	27	0.17	NA	10	NA
scaffold_13368	18650	18651	Aluexon:987	chr14:20821054:20821055:+	+	19	0.96	7	7	6
scaffold_13449	919	920	Aluexon:5115	chr19:50290456:50290457:+	+	199	3.91	9	9	6
scaffold_13502	968	969	Aluexon:824	chr12:58144298:58144299:-	-	62	-16.08	10	10	6
scaffold_13545	24272	24273	Aluexon:1547	chr17:15443394:15443395:-	-	29	-26.92	14	14	6
scaffold_135	763706	763707	Aluexon:560	chr11:18123862:18123863:-	-	97	-27.00	21	21	6
scaffold_135	969	970	Aluexon:5283	chr11:17289133:17289134:+	+	254	-12.94	26	5	26
scaffold_13617	14309	14310	Aluexon:4993	chr17:5339357:5339358:-	-	26	1.53	8	8	6
scaffold_1377	201958	201959	Aluexon:505	chr10:126451127:126451128:-	-	47	4.11	14	14	6
scaffold_13916	16653	16654	Aluexon:2873	chr3:128616208:128616209:+	+	177	8.75	5	3	5
scaffold_13933	44733	44734	Aluexon:4066	chr15:77649441:77649442:-	-	165	-0.28	17	17	6
scaffold_139459	175	176	Aluexon:4751	chr10:70749471:70749472:+	+	27	9.23	8	8	4
scaffold_139933	235	236	Aluexon:2658	chr22:22039925:22039926:+	+	22	-14.94	4	3	4
scaffold_14018	19735	19736	Aluexon:3509	chr7:92949686:92949687:+	+	30	6.98	NA	7	NA
scaffold_14058	10134	10135	Aluexon:2962	chr4:126730:126731:+	-	25	-9.52	5	5	4
scaffold_14058	12918	12919	Aluexon:5418	chr19:19783017:19783018:+	-	28	3.89	14	14	7
scaffold_1406	56847	56848	Aluexon:3083	chr4:169930150:169930151:-	-	77	-2.57	9	9	6
scaffold_14069	5652	5653	Aluexon:3300	chr6:52288483:52288484:+	+	186	-6.27	6	4	6
scaffold_1409	723	724	Aluexon:1452	chr16:74707815:74707816:-	-	54	-33.12	9	9	6
scaffold_141872	331	332	Aluexon:4860	chr13:50505917:50505918:-	+	150	8.38	6	2	6
scaffold_1426	11234	11235	Aluexon:1582	chr17:27856006:27856007:+	+	29	2.30	19	19	6
scaffold_14276	2378	2379	Aluexon:2348	chr2:70277384:70277385:-	-	52	5.69	6	4	6
scaffold_14312	8891	8892	Aluexon:1091	chr14:89013995:89013996:-	-	14	-21.51	17	10	17
scaffold_143585	950	951	Aluexon:6788	chr3:180565412:180565413:-	+	18	1.92	NA	5	NA
scaffold_143601	1018	1019	Aluexon:3575	chr7:148713333:148713334:-	-	67	-20.06	NA	NA	6
scaffold_144012	564	565	Aluexon:1961	chr19:14458221:14458222:-	+	14	4.76	7	5	7
scaffold_1441	111529	111530	Aluexon:3720	chr8:130961313:130961314:-	-	26	-3.88	34	34	11
scaffold_1449	219038	219039	Aluexon:1645	chr17:39790885:39790886:-	+	49	-3.01	NA	3	NA
scaffold_1449	62634	62635	Aluexon:1651	chr17:39988955:39988956:-	+	182	5.05	5	3	5
scaffold_14533	10276	10277	Aluexon:2194	chr19:52850958:52850959:+	+	180	4.91	10	1	10
scaffold_14539	11531	11532	Aluexon:4321	chr1:179197474:179197475:-	-	36	3.01	17	17	5
scaffold_1459	238737	238738	Aluexon:259	chr1:165639502:165639503:-	+	162	4.93	9	9	7
scaffold_14742	5926	5927	Aluexon:3929	chrX:71126929:71126930:-	-	25	8.29	4	4	4
scaffold_1477	1388	1389	Aluexon:115	chr1:43448794:43448795:+	+	195	-2.80	6	3	6
scaffold_1481	321169	321170	Aluexon:3962	chrX:114848463:114848464:+	+	185	5.23	11	3	11
scaffold_148175	887	888	Aluexon:5653	chrY:1372152:1372153:+	-	39	3.01	26	26	6
scaffold_1486	93277	93278	Aluexon:5239	chr1:41187276:41187277:+	+	45	-6.98	10	10	5
scaffold_1486	95342	95343	Aluexon:110	chr1:41189359:41189360:+	+	31	-13.07	9	9	6
scaffold_14883	41892	41893	Aluexon:5061	chr18:39540728:39540729:+	+	27	-2.99	11	11	6
scaffold_149456	479	480	Aluexon:1992	chr19:19538503:19538504:+	-	30	2.30	21	21	6
scaffold_1498	346864	346865	Aluexon:4865	chr13:92458308:92458309:+	+	32	6.54	9	9	7
scaffold_1499	178486	178487	Aluexon:1496	chr17:808404:808405:-	-	267	-21.04	6	4	6
scaffold_1499	69233	69234	Aluexon:1503	chr17:683932:683933:-	-	70	-27.28	9	5	9
scaffold_1499	69280	69281	Aluexon:1502	chr17:683973:683974:-	-	29	-31.57	9	5	9
scaffold_1506	400758	400759	Aluexon:57	chr1:22390489:22390490:+	+	269	-6.20	8	8	6
scaffold_15078	9278	9279	Aluexon:3425	chr7:32607661:32607662:+	+	15	6.16	NA	7	NA
scaffold_15179	61617	61618	Aluexon:4626	chr7:104708920:104708921:+	+	19	-0.28	12	12	5
scaffold_15229	10512	10513	Aluexon:5909	chr20:31971327:31971328:-	-	240	-1.35	6	6	4
scaffold_1536	38233	38234	Aluexon:5674	chr1:160992617:160992618:-	-	26	-4.57	4	3	4
scaffold_1547	176950	176951	Aluexon:2547	chr20:31238968:31238969:-	-	209	-9.87	4	2	4
scaffold_15500	9240	9241	Aluexon:3078	chr4:166145088:166145089:+	+	23	-19.11	7	7	6
scaffold_156449	560	561	Aluexon:782	chr12:7163343:7163344:+	-	179	-16.31	7	2	7
scaffold_156	53800	53801	Aluexon:3911	chrX:37300042:37300043:+	+	39	2.90	12	12	4
scaffold_15684	18098	18099	Aluexon:6423	chr17:41311256:41311257:-	-	12	3.01	24	24	6
scaffold_15691	4225	4226	Aluexon:1377	chr16:30213357:30213358:+	-	41	6.21	8	8	5
scaffold_1597	51062	51063	Aluexon:1924	chr19:10603393:10603394:-	-	24	-1.53	NA	7	NA
scaffold_1610	257436	257437	Aluexon:5828	chr16:71749743:71749744:-	-	166	-17.39	17	17	7
scaffold_16115	7712	7713	Aluexon:5862	chr19:20600589:20600590:-	-	27	-2.22	6	4	6
scaffold_161	16426	16427	Aluexon:2922	chr3:155622826:155622827:+	+	12	-8.09	9	3	9
scaffold_161	7170	7171	Aluexon:2923	chr3:155613277:155613278:+	+	192	-10.09	NA	NA	9
scaffold_16242	2321	2322	Aluexon:1378	chr16:30619619:30619620:+	-	28	-8.48	8	8	4
scaffold_16349	6179	6180	Aluexon:3557	chr7:138203432:138203433:+	+	2	-22.91	6	4	6
scaffold_1635	11417	11418	Aluexon:3092	chr4:187612956:187612957:-	-	32	-1.92	4	4	4
scaffold_1640	176544	176545	Aluexon:1473	chr16:81054106:81054107:-	+	17	-10.42	4	4	4
scaffold_16427	9076	9077	Aluexon:2654	chr21:47672594:47672595:-	-	18	0.79	9	9	7
scaffold_164322	502	503	Aluexon:41	chr1:890163:890164:-	+	61	-37.71	21	21	5
scaffold_166221	372	373	Aluexon:1523	chr16:85805497:85805498:-	-	15	0.58	5	4	5
scaffold_1667	171095	171096	Aluexon:2863	chr3:124793073:124793074:-	-	112	-21.22	6	2	6
scaffold_167	109302	109303	Aluexon:3549	chr7:129679181:129679182:-	-	32	2.30	25	25	6
scaffold_167126	449	450	Aluexon:4862	chr13:76204641:76204642:-	-	188	4.27	6	4	6
scaffold_1681	233738	233739	Aluexon:425	chr10:74621435:74621436:+	+	252	6.88	8	8	6
scaffold_1685	124748	124749	Aluexon:1480	chr16:69264284:69264285:+	-	20	1.10	16	16	6
scaffold_1685	42008	42009	Aluexon:1483	chr16:69357606:69357607:-	+	265	-12.92	6	3	6
scaffold_16886	38106	38107	Aluexon:5665	chr1:89485894:89485895:-	-	37	8.44	6	4	6
scaffold_1698	300549	300550	Aluexon:2487	chr2:210901504:210901505:+	+	19	4.27	8	6	8
scaffold_1701	20605	20606	Aluexon:263	chr1:167227111:167227112:+	-	100	-5.08	10	10	9
scaffold_1702	215755	215756	Aluexon:4421	chr3:49060953:49060954:+	-	18	0.77	7	7	6
scaffold_1702	309789	309790	Aluexon:2885	chr3:48962149:48962150:+	-	30	1.10	14	14	5
scaffold_17073	15129	15130	Aluexon:1436	chr16:58658698:58658699:-	-	28	1.51	12	12	8
scaffold_17146	50865	50866	Aluexon:4663	chr8:74867961:74867962:-	-	58	-14.67	7	4	7
scaffold_17146	50940	50941	Aluexon:3668	chr8:74868000:74868001:-	-	19	-6.06	7	4	7
scaffold_17146	51371	51372	Aluexon:3669	chr8:74868450:74868451:-	-	197	-6.13	7	2	7
scaffold_17197	11513	11514	Aluexon:955	chr13:45943934:45943935:+	+	194	-12.35	4	1	4
scaffold_1724	184452	184453	Aluexon:4450	chr3:186746874:186746875:-	-	15	-6.56	4	2	4
scaffold_1725	211013	211014	Aluexon:5904	chr2:192032451:192032452:-	-	22	7.18	3	1	3
scaffold_17332	7658	7659	Aluexon:1983	chr19:17682677:17682678:+	+	37	3.24	15	15	5
scaffold_17478	9451	9452	Aluexon:3404	chr7:11105930:11105931:+	+	9	-20.74	7	7	4
scaffold_17570	7943	7944	Aluexon:764	chr12:49747760:49747761:+	+	272	-5.64	6	3	6
scaffold_1772	226448	226449	Aluexon:2502	chr2:233124429:233124430:+	+	109	-2.12	12	12	4
scaffold_1772	226556	226557	Aluexon:2501	chr2:233124549:233124550:+	+	229	4.88	12	12	4
scaffold_1773	132638	132639	Aluexon:1336	chr16:14672485:14672486:-	+	50	-3.34	11	11	6
scaffold_17754	8356	8357	Aluexon:992	chr14:20786486:20786487:-	-	161	-5.58	11	9	11
scaffold_17884	14595	14596	Aluexon:5171	chr21:47742681:47742682:-	+	22	-12.83	3	2	3
scaffold_1791	212690	212691	Aluexon:757	chr12:47603241:47603242:-	-	35	-11.57	5	3	5
scaffold_17915	1288	1289	Aluexon:418	chr10:67440716:67440717:+	+	20	-10.00	6	6	5
scaffold_17947	5728	5729	Aluexon:2996	chr4:39651995:39651996:+	+	24	-6.48	5	3	5
scaffold_179	531552	531553	Aluexon:647	chr11:74519231:74519232:-	+	15	3.81	5	4	5
scaffold_18186	5887	5888	Aluexon:1188	chr15:52059289:52059290:+	+	61	-30.13	15	15	6
scaffold_18259	3146	3147	Aluexon:281	chr1:155644609:155644610:-	+	24	3.01	22	22	13
scaffold_1839	7778	7779	Aluexon:3981	chr1:11077401:11077402:+	+	146	-7.47	15	15	6
scaffold_1842	55605	55606	Aluexon:2816	chr3:53101332:53101333:-	-	55	-25.48	7	3	7
scaffold_1846	12338	12339	Aluexon:2458	chr2:201325559:201325560:+	+	31	3.46	19	7	12
scaffold_18499	5354	5355	Aluexon:1811	chr18:23846143:23846144:+	-	66	-27.38	17	17	6
scaffold_18512	11813	11814	Aluexon:5273	chr10:73982889:73982890:+	+	49	8.78	8	7	8
scaffold_18537	9192	9193	Aluexon:4165	chr5:134013729:134013730:+	+	22	10.38	17	17	4
scaffold_18556	10127	10128	Aluexon:750	chr12:31449978:31449979:-	-	25	3.06	15	15	6
scaffold_1857	195291	195292	Aluexon:793	chr12:53690236:53690237:+	+	48	-1.62	21	21	5
scaffold_1857	195304	195305	Aluexon:794	chr12:53690249:53690250:+	+	61	-24.63	21	21	5
scaffold_1857	195347	195348	Aluexon:795	chr12:53690292:53690293:+	+	104	-4.66	21	21	5
scaffold_18572	8956	8957	Aluexon:4196	chr8:121523558:121523559:+	+	25	0.30	NA	22	NA
scaffold_1857	84210	84211	Aluexon:5727	chr12:53572380:53572381:-	-	212	-32.13	7	4	7
scaffold_18591	49194	49195	Aluexon:3605	chr7:56127487:56127488:+	-	106	-23.52	10	10	6
scaffold_1868	108069	108070	Aluexon:2702	chr22:30784268:30784269:-	-	23	0.85	20	20	6
scaffold_1868	135753	135754	Aluexon:2703	chr22:30815965:30815966:+	+	36	-3.74	5	3	5
scaffold_1868	196357	196358	Aluexon:2683	chr22:30954313:30954314:-	-	98	-6.19	11	11	6
scaffold_18954	499	500	Aluexon:483	chr10:75477923:75477924:-	-	207	5.65	18	18	5
scaffold_18961	51	52	Aluexon:4760	chr10:104941085:104941086:-	-	20	3.01	NA	NA	NA
scaffold_1906	91837	91838	Aluexon:3179	chr5:134241629:134241630:+	+	73	-27.86	7	4	7
scaffold_1911	157011	157012	Aluexon:4571	chr6:107511227:107511228:-	-	78	-6.04	13	13	5
scaffold_1920	128321	128322	Aluexon:3226	chr5:154211052:154211053:+	+	56	3.57	6	6	6
scaffold_1921	19458	19459	Aluexon:5349	chr15:77291800:77291801:+	+	195	5.05	15	15	6
scaffold_1925	163929	163930	Aluexon:6516	chr10:4127387:4127388:+	+	245	8.10	7	4	7
scaffold_19283	8015	8016	Aluexon:5398	chr19:578848:578849:+	+	114	0.31	7	7	6
scaffold_1935	62731	62732	Aluexon:862	chr12:111054080:111054081:+	+	25	9.17	5	5	4
scaffold_1940	185039	185040	Aluexon:4345	chr1:204371052:204371053:-	-	16	-0.34	12	12	6
scaffold_19504	506	507	Aluexon:1467	chr16:77770545:77770546:+	-	14	1.71	17	17	6
scaffold_19698	9519	9520	Aluexon:5333	chr14:67289961:67289962:+	+	250	-18.22	6	5	6
scaffold_1980	117085	117086	Aluexon:159	chr1:78446910:78446911:+	+	64	-27.28	22	22	7
scaffold_1985	81860	81861	Aluexon:3207	chr5:159493944:159493945:-	-	108	-16.70	9	9	7
scaffold_19865	9263	9264	Aluexon:373	chr10:5970297:5970298:+	+	189	10.41	NA	7	NA
scaffold_19881	2038	2039	Aluexon:1101	chr14:92404748:92404749:-	-	79	-15.40	5	3	5
scaffold_1988	68398	68399	Aluexon:5955	chr5:54422267:54422268:-	-	47	3.57	25	25	6
scaffold_19909	399	400	Aluexon:815	chr12:69209406:69209407:+	+	196	3.81	12	5	12
scaffold_1998	115949	115950	Aluexon:583	chr11:34128598:34128599:+	+	20	1.52	16	16	6
scaffold_2002	262529	262530	Aluexon:1423	chr16:66922175:66922176:+	+	212	4.88	8	4	8
scaffold_2014	61728	61729	Aluexon:1567	chr17:19960988:19960989:+	+	186	10.99	14	5	14
scaffold_20167	33900	33901	Aluexon:152	chr1:52903623:52903624:-	-	32	-10.43	7	7	4
scaffold_20187	11132	11133	Aluexon:4306	chr1:153865915:153865916:-	-	185	3.52	7	5	7
scaffold_2022	239578	239579	Aluexon:4789	chr11:73594584:73594585:+	-	26	-25.99	11	11	5
scaffold_20309	283	284	Aluexon:1486	chr16:89564492:89564493:+	+	22	-0.04	7	5	7
scaffold_2053	131001	131002	Aluexon:2033	chr19:34849821:34849822:-	-	19	2.02	11	11	4
scaffold_2053	176181	176182	Aluexon:2035	chr19:34920996:34920997:+	+	168	3.58	9	2	9
scaffold_20543	3097	3098	Aluexon:5485	chr22:42150459:42150460:+	-	32	-3.84	7	7	7
scaffold_205	679546	679547	Aluexon:4873	chr14:34918202:34918203:-	-	14	2.79	23	23	5
scaffold_2060	126995	126996	Aluexon:2428	chr2:173946006:173946007:+	+	85	-11.80	7	4	7
scaffold_2069	34978	34979	Aluexon:1920	chr19:10290910:10290911:-	-	96	-14.94	15	6	15
scaffold_2069	87654	87655	Aluexon:5089	chr19:10361735:10361736:-	-	30	-0.16	9	4	9
scaffold_2072	184309	184310	Aluexon:3152	chr5:96140643:96140644:-	-	19	-4.47	4	4	3
scaffold_210	693882	693883	Aluexon:3518	chr7:98612915:98612916:+	+	23	-6.20	7	7	4
scaffold_21071	4703	4704	Aluexon:387	chr10:27369017:27369018:-	-	99	-21.74	24	24	6
scaffold_21071	9460	9461	Aluexon:4202	chr9:99950881:99950882:-	-	25	-20.25	6	3	6
scaffold_2110	127600	127601	Aluexon:4042	chr12:50390409:50390410:-	-	34	-21.11	25	25	14
scaffold_2110	130942	130943	Aluexon:768	chr12:50395843:50395844:-	-	32	-16.64	5	3	5
scaffold_2110	257547	257548	Aluexon:5724	chr12:50538752:50538753:-	-	196	-2.45	8	7	8
scaffold_21112	1880	1881	Aluexon:6428	chr19:20516941:20516942:-	-	12	7.92	8	6	8
scaffold_2114	93218	93219	Aluexon:1443	chr16:68345943:68345944:+	+	26	5.03	7	7	6
scaffold_211	645768	645769	Aluexon:3533	chr7:105733115:105733116:-	+	25	3.18	6	5	6
scaffold_2119	64552	64553	Aluexon:4861	chr13:52743439:52743440:-	+	21	0.57	8	8	5
scaffold_2119	66161	66162	Aluexon:969	chr13:53235608:53235609:+	+	207	6.91	10	10	8
scaffold_21207	11067	11068	Aluexon:5885	chr2:256690:256691:-	-	23		NA	NA	6
scaffold_212	335630	335631	Aluexon:3864	chr9:135558010:135558011:+	+	28	-1.09	11	6	11
scaffold_2135	220498	220499	Aluexon:1034	chr14:56068473:56068474:+	+	16	2.19	8	8	7
scaffold_21383	4156	4157	Aluexon:4498	chr5:43031428:43031429:-	+	30	3.01	23	23	7
scaffold_2145	175347	175348	Aluexon:2431	chr2:175541852:175541853:-	-	38	3.89	10	6	10
scaffold_21622	1412	1413	Aluexon:4655	chr8:48960175:48960176:+	+	52	-27.48	9	6	9
scaffold_216	408985	408986	Aluexon:3367	chr6:155634323:155634324:-	-	86	-25.00	9	4	9
scaffold_21748	15151	15152	Aluexon:5204	chrX:40953473:40953474:+	+	47	3.57	19	19	6
scaffold_21832	4737	4738	Aluexon:2525	chr2:242568337:242568338:-	-	25	3.30	10	10	6
scaffold_2183	73737	73738	Aluexon:2909	chr3:148587867:148587868:-	-	40	-10.20	6	6	4
scaffold_21917	2327	2328	Aluexon:5472	chr20:34370248:34370249:+	+	53	-4.04	14	14	4
scaffold_21951	11189	11190	Aluexon:5879	chr19:54556228:54556229:-	-	28	2.62	6	5	6
scaffold_2196	4095	4096	Aluexon:4435	chr3:129114863:129114864:+	+	251	-19.54	NA	NA	NA
scaffold_22086	5459	5460	Aluexon:6261	chr2:47888110:47888111:+	+	37	-18.48	27	27	4
scaffold_2208	81959	81960	Aluexon:3940	chrX:101173592:101173593:-	-	44	-26.42	20	20	7
scaffold_22271	7084	7085	Aluexon:154	chr1:70850939:70850940:+	+	13	2.30	18	18	6
scaffold_2229	169634	169635	Aluexon:5609	chr7:143508205:143508206:+	-	21	-0.46	4	2	4
scaffold_22371	10609	10610	Aluexon:3032	chr4:87853471:87853472:-	-	45	-7.81	20	20	5
scaffold_2245	72554	72555	Aluexon:1608	chr17:30212057:30212058:-	+	16	2.90	12	12	6
scaffold_22479	400	401	Aluexon:6752	chr19:43407873:43407874:-	+	206	3.09	6	6	5
scaffold_22543	10328	10329	Aluexon:5360	chr16:12060875:12060876:+	+	41	1.27	8	8	5
scaffold_22543	5379	5380	Aluexon:1333	chr16:12057883:12057884:-	-	19	1.66	14	14	5
scaffold_2257	196248	196249	Aluexon:3739	chr8:145721001:145721002:+	+	191	6.58	11	11	6
scaffold_22594	3701	3702	Aluexon:983	chr13:115096252:115096253:-	+	24	-13.23	7	5	7
scaffold_2280	32568	32569	Aluexon:6738	chr17:41026880:41026881:-	-	192	-12.56	4	3	4
scaffold_2280	34752	34753	Aluexon:6739	chr17:41030090:41030091:-	-	186	-1.66	3	3	3
